"";"nom";"prenom";"age";"minutes";"Competition";"year";"saison";"lien"
"1534";"Bonneval";"Arthur";24;818;"Top 14";1995;"18/19";"http://www.itsrugby.fr/joueur_30949.html"
"1535";"Bonneval";"Arthur";22;880;"Top 14";1995;"16/17";"http://www.itsrugby.fr/joueur_30949.html"
"1536";"Bonneval";"Arthur";21;439;"Top 14";1995;"15/16";"http://www.itsrugby.fr/joueur_30949.html"
"1537";"Bonneval";"Arthur";19;78;"Top 14";1995;"13/14";"http://www.itsrugby.fr/joueur_30949.html"
"1538";"Mitchell";"James";22;191;"Premiership";1995;"16/17";"http://www.itsrugby.fr/joueur_30950.html"
"1539";"Mitchell";"James";21;33;"Premiership";1995;"15/16";"http://www.itsrugby.fr/joueur_30950.html"
"1540";"Witty";"Will";24;424;"Premiership";1995;"18/19";"http://www.itsrugby.fr/joueur_30968.html"
"1541";"Witty";"Will";23;1026;"Premiership";1995;"17/18";"http://www.itsrugby.fr/joueur_30968.html"
"1542";"Witty";"Will";22;651;"Premiership";1995;"16/17";"http://www.itsrugby.fr/joueur_30968.html"
"1543";"Witty";"Will";21;80;"Premiership";1995;"15/16";"http://www.itsrugby.fr/joueur_30968.html"
"1544";"Witty";"Will";20;12;"Premiership";1995;"14/15";"http://www.itsrugby.fr/joueur_30968.html"
"1545";"Raynaud";"Tommy";24;1063;"Top 14";1994;"17/18";"http://www.itsrugby.fr/joueur_30974.html"
"1546";"Iturria";"Arthur";25;584;"Top 14";1994;"18/19";"http://www.itsrugby.fr/joueur_30975.html"
"1547";"Iturria";"Arthur";24;389;"Top 14";1994;"17/18";"http://www.itsrugby.fr/joueur_30975.html"
"1548";"Iturria";"Arthur";23;992;"Top 14";1994;"16/17";"http://www.itsrugby.fr/joueur_30975.html"
"1549";"Iturria";"Arthur";22;215;"Top 14";1994;"15/16";"http://www.itsrugby.fr/joueur_30975.html"
