"";"nom";"prenom";"competition";"age";"minutes";"saison";"WC_U20";"lien"
"1447";"Aldegheri";"Dorian";"Top 14";23;847;"16/17";"not U20 WC";"http://www.itsrugby.fr/joueur_30183.html"
"1448";"Aldegheri";"Dorian";"Top 14";22;872;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_30183.html"
"1449";"Aldegheri";"Dorian";"Top 14";21;82;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_30183.html"
"1450";"Aldegheri";"Dorian";"Top 14";20;31;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30183.html"
"1451";"Rabat";"Nicolas";"Top 14";23;63;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30185.html"
"1452";"Sella";"Geoffrey";"Top 14";21;124;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30317.html"
"1453";"Belan";"Theo";"Top 14";25;736;"17/18";"not U20 WC";"http://www.itsrugby.fr/joueur_30536.html"
"1454";"Belan";"Theo";"Top 14";24;774;"16/17";"not U20 WC";"http://www.itsrugby.fr/joueur_30536.html"
"1455";"Belan";"Theo";"Top 14";23;467;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_30536.html"
"1456";"Belan";"Theo";"Top 14";22;65;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_30536.html"
"1457";"Belan";"Theo";"Top 14";21;40;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30536.html"
"1458";"Daguin";"Clement";"Top 14";25;403;"16/17";"not U20 WC";"http://www.itsrugby.fr/joueur_30544.html"
"1459";"Daguin";"Clement";"Top 14";24;466;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_30544.html"
"1460";"Andrieux";"Clement";"Top 14";20;9;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30855.html"
"1461";"Lapeyrade";"Florian";"Top 14";24;56;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_30920.html"
"1462";"Bonneval";"Arthur";"Top 14";24;818;"18/19";"U20 WC";"http://www.itsrugby.fr/joueur_30949.html"
"1463";"Bonneval";"Arthur";"Top 14";22;880;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_30949.html"
"1464";"Bonneval";"Arthur";"Top 14";21;439;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_30949.html"
"1465";"Bonneval";"Arthur";"Top 14";19;78;"13/14";"U20 WC";"http://www.itsrugby.fr/joueur_30949.html"
"1466";"Falgoux";"Etienne";"Top 14";25;918;"17/18";"not U20 WC";"http://www.itsrugby.fr/joueur_30960.html"
"1467";"Falgoux";"Etienne";"Top 14";24;768;"16/17";"not U20 WC";"http://www.itsrugby.fr/joueur_30960.html"
"1468";"Falgoux";"Etienne";"Top 14";23;9;"15/16";"not U20 WC";"http://www.itsrugby.fr/joueur_30960.html"
"1469";"Falgoux";"Etienne";"Top 14";22;5;"14/15";"not U20 WC";"http://www.itsrugby.fr/joueur_30960.html"
"1470";"Falgoux";"Etienne";"Top 14";21;42;"13/14";"not U20 WC";"http://www.itsrugby.fr/joueur_30960.html"
"1471";"Raynaud";"Tommy";"Top 14";24;1063;"17/18";"U20 WC";"http://www.itsrugby.fr/joueur_30974.html"
"1472";"Iturria";"Arthur";"Top 14";25;584;"18/19";"U20 WC";"http://www.itsrugby.fr/joueur_30975.html"
"1473";"Iturria";"Arthur";"Top 14";24;389;"17/18";"U20 WC";"http://www.itsrugby.fr/joueur_30975.html"
"1474";"Iturria";"Arthur";"Top 14";23;992;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_30975.html"
"1475";"Iturria";"Arthur";"Top 14";22;215;"15/16";"U20 WC";"http://www.itsrugby.fr/joueur_30975.html"
"1476";"Hamdaoui";"Kylan";"Top 14";25;1157;"18/19";"U20 WC";"http://www.itsrugby.fr/joueur_30976.html"
"1477";"Bachelier";"Lucas";"Top 14";24;479;"18/19";"U20 WC";"http://www.itsrugby.fr/joueur_31010.html"
"1478";"Lambey";"Felix";"Top 14";25;618;"18/19";"U20 WC";"http://www.itsrugby.fr/joueur_31011.html"
"1479";"Lambey";"Felix";"Top 14";24;1134;"17/18";"U20 WC";"http://www.itsrugby.fr/joueur_31011.html"
"1480";"Lambey";"Felix";"Top 14";23;728;"16/17";"U20 WC";"http://www.itsrugby.fr/joueur_31011.html"
