"";"nom";"prenom";"club";"saison";"pays";"competition";"nationalite";"link"
"1911";"Snyman";"Rudolph Gerhardus";"Honda Heat";"17/18";"Japon";"Japon D2";"Afrique du Sud";"http://www.itsrugby.fr/joueur_34217.html"
"1912";"Warren-Vosayaco";"Rahboni";"Sunwolves";"16/17";"Japon";"Super Rugby";"Australie";"http://www.itsrugby.fr/joueur_35193.html"
"1913";"Warren-Vosayaco";"Rahboni";"NTT Shining Arcs";"16/17";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_35193.html"
"1914";"Tuidraki";"Vatiliai";"Toyota Verblitz";"17/18";"Japon";"Japon";"Fidji";"http://www.itsrugby.fr/joueur_35408.html"
"1915";"Waqa";"Sanaila Junior";"NEC Green Rockets";"17/18";"Japon";"Japon";"Fidji";"http://www.itsrugby.fr/joueur_35530.html"
"1916";"Moore";"James";"Sunwolves";"17/18";"Japon";"Super Rugby";"Australie";"http://www.itsrugby.fr/joueur_35595.html"
"1917";"Moore";"James";"Toshiba Brave Lupus";"17/18";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_35595.html"
"1918";"Lolohea";"Viliami";"Sunwolves";"15/16";"Japon";"Super Rugby";"Tonga";"http://www.itsrugby.fr/joueur_35754.html"
"1919";"Iowane";"Peni";"Toyota Shokki Shuttle";"16/17";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_36093.html"
"1920";"Takau";"Talifolau";"Honda Heat";"15/16";"Japon";"Japon";"Tonga";"http://www.itsrugby.fr/joueur_36305.html"
"1921";"Motuapuaka";"Alaimoana";"Panasonic Wildknights";"15/16";"Japon";"Japon";"Tonga";"http://www.itsrugby.fr/joueur_36354.html"
"1922";"Falconer";"Kane";"Canon Eagles";"16/17";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_38405.html"
"1923";"Saumaki";"Amanaki";"Canon Eagles";"17/18";"Japon";"Japon";"Tonga";"http://www.itsrugby.fr/joueur_38408.html"
