"";"nom";"prenom";"club";"saison";"pays";"competition";"nationalite";"link"
"394";"Olivier";"Leonard";"Montauban";"09/10";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_8211.html"
"395";"Geldenhuys";"Johannes Petrus";"Bayonne";"08/09";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_8245.html"
"396";"Cilliers";"Patric Michael";"Montpellier";"14/15";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_8273.html"
"397";"Cilliers";"Patric Michael";"Bayonne";"14/15";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_8273.html"
"398";"Swanepoel";"Riaan";"Brive";"11/12";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_8277.html"
"399";"Swanepoel";"Riaan";"Clermont";"11/12";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_8277.html"
"400";"Kruger";"Juandre";"Racing Metro 92";"13/14";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_8312.html"
"401";"Vahafolau";"Samiu";"Biarritz";"07/08";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_8352.html"
"402";"Meyer";"Willem";"Albi";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_8387.html"
"403";"Kimlin";"Peter";"Grenoble";"13/14";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_8392.html"
"404";"Palmer";"Daniel";"Grenoble";"13/14";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_8447.html"
"405";"Inman";"Mitchell";"Toulon";"15/16";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_8467.html"
"406";"Connor";"Blair";"Union Bordeaux Bègles";"11/12";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_8469.html"
"407";"Mafi";"Alfi";"Brive";"13/14";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_8470.html"
"408";"Betham";"Peter";"Clermont";"17/18";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_8471.html"
"409";"Fa'anunu";"Paea";"Montpellier";"13/14";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_8475.html"
"410";"McDonald";"Quentin";"Oyonnax";"17/18";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_8477.html"
"411";"Braid";"Luke";"Union Bordeaux Bègles";"15/16";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_8482.html"
"412";"Saili";"Peter";"Union Bordeaux Bègles";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_8484.html"
"413";"Kirkpatrick";"Daniel";"Castres";"12/13";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_8488.html"
"414";"Poki";"Kade";"Bayonne";"16/17";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_8490.html"
"415";"Willison";"Jackson";"Grenoble";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_8492.html"
"416";"Guildford";"Zach";"Clermont";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_8493.html"
"417";"Paulino";"Maselino";"LOU";"16/17";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_8664.html"
"418";"Murimurivalu";"Kini";"Clermont";"10/11";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_8724.html"
"419";"Lewaravu";"Wame";"Mont de Marsan";"12/13";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_8925.html"
"420";"Baleinadogo";"Dan";"Mont de Marsan";"12/13";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_8926.html"
"421";"Lilo";"Vungakoto";"Union Bordeaux Bègles";"11/12";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_9015.html"
"422";"Bell";"Duncan";"Dax";"07/08";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_9228.html"
"423";"Taufa";"Alaska";"Oyonnax";"14/15";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_9241.html"
"424";"Vaka";"Saimoni";"Agen";"10/11";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_9304.html"
"425";"Fekitoa";"Saia";"Brive";"07/08";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_9520.html"
"426";"Toetu";"Andre Patrick";"Union Bordeaux Bègles";"11/12";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_9543.html"
"427";"Buckle";"Albertus Marthinus";"Bourgoin";"10/11";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_9547.html"
"428";"Paea";"Hemani";"Oyonnax";"13/14";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_9710.html"
"429";"Ratuvou";"Mosese";"LOU";"11/12";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_9881.html"
"430";"Power";"Leon";"Oyonnax";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_9954.html"
"431";"Hansell-Pune";"Roimata";"Oyonnax";"13/14";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_9957.html"
"432";"Naikatini";"Api";"Brive";"13/14";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_9965.html"
"433";"Tui";"Hoani";"LOU";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_9966.html"
"434";"Taulafo";"Sakaria";"Stade Français";"13/14";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_9972.html"
"435";"Pelenise";"Afeleke";"Castres";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_9977.html"
"436";"Mailau";"Tevita";"Mont de Marsan";"12/13";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_9985.html"
"437";"Vainikolo";"Fetu'u";"Oyonnax";"15/16";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_9987.html"
"438";"Harris";"Michael";"LOU";"16/17";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_9990.html"
"439";"Faumuina";"Charlie";"Stade Toulousain";"17/18";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_9993.html"
"440";"Stanley";"Benson";"Clermont";"12/13";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_9995.html"
"441";"Lee";"Fritz";"Clermont";"13/14";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_9999.html"
"442";"Gard";"Hamish";"Montpellier";"12/13";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_10005.html"
"443";"Hegarty";"Anthony";"Grenoble";"12/13";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_10060.html"
"444";"Timani";"Sitakeli";"Montpellier";"13/14";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_10111.html"
"445";"Edwards";"Dayna";"Grenoble";"12/13";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_10120.html"
"446";"Smith";"Andrew";"Montpellier";"15/16";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_10130.html"
"447";"Ramsay";"Daniel";"Pau";"15/16";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_10143.html"
"448";"Arnold";"Toby";"LOU";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_10261.html"
"449";"Pretorius";"Nicolaas";"Biarritz";"08/09";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_10304.html"
"450";"Fa'afili";"Henry";"Biarritz";"07/08";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_10308.html"
"451";"Chalmers";"Hugh";"Union Bordeaux Bègles";"11/12";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_10318.html"
"452";"Wakanivuga";"Vinaya";"LOU";"11/12";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_10327.html"
"453";"Fa'asavalu";"Maurie";"Oyonnax";"14/15";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_10819.html"
"454";"Vaealiki";"David";"Albi";"09/10";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_10881.html"
"455";"Bolakoro";"Ilikena";"Biarritz";"07/08";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_11020.html"
"456";"Inu";"Krisnan";"Stade Français";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_11121.html"
"457";"Mason";"Willie";"Toulon";"11/12";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_11149.html"
"458";"Williams";"Sonny Bill";"Toulon";"08/09";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_11165.html"
"459";"Hunt";"Karmichael";"Biarritz";"09/10";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_11226.html"
"460";"Gasnier";"Mark";"Stade Français";"08/09";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_11514.html"
"461";"Rooney";"Luke";"Toulon";"08/09";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_11654.html"
"462";"Haylett-Petty";"Dane";"Biarritz";"10/11";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_12194.html"
"463";"O'Connor";"James";"Toulon";"14/15";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_12195.html"
"464";"Smit";"Riaan";"Oyonnax";"14/15";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_12364.html"
"465";"Basson";"Bjorn Alberic";"Oyonnax";"17/18";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_12465.html"
"466";"Tatupu";"Josh";"Castres";"10/11";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_12517.html"
"467";"Taumoepeau";"Afusipa";"Castres";"16/17";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_12533.html"
"468";"Ebersohn";"Robert Thompson";"Montpellier";"13/14";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_13565.html"
"469";"Charles";"Nathan";"Clermont";"16/17";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_13646.html"
"470";"Murday";"Tom";"Agen";"15/16";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_13647.html"
"471";"Kingi";"Richard";"Stade Français";"13/14";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_13650.html"
"472";"Rokobaro";"Alex";"Stade Français";"11/12";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_13845.html"
"473";"Nagusa";"Timoci";"Montpellier";"10/11";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_13857.html"
"474";"Tomane";"Joseph";"Montpellier";"16/17";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_13937.html"
"475";"Radidi";"Saula";"Albi";"09/10";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_13977.html"
"476";"Johnston";"James";"Brive";"17/18";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_13996.html"
"477";"Cowley";"Tim";"Bourgoin";"08/09";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_13999.html"
"478";"Piukala";"Sione";"USAP";"12/13";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_14014.html"
"479";"Su'a";"Afereti Junior";"Albi";"09/10";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_14016.html"
"480";"Matanavou";"Timoci";"Mont de Marsan";"08/09";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_14113.html"
"481";"Butonidualevu";"Aloisio";"Grenoble";"12/13";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_14182.html"
"482";"Tulou";"Alex";"Montpellier";"10/11";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_14369.html"
"483";"Tulou";"Alex";"Bourgoin";"10/11";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_14369.html"
"484";"Barba";"Ben";"Toulon";"16/17";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_14381.html"
"485";"Grant";"Paul";"Montpellier";"13/14";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_14392.html"
"486";"Whitelock";"Adam";"Bayonne";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_14395.html"
"487";"Cruden";"Aaron";"Montpellier";"17/18";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_14396.html"
"488";"Forbes";"Hikairo";"Union Bordeaux Bègles";"11/12";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_14402.html"
"489";"Tuitavake";"Nafi";"Agen";"12/13";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_14445.html"
"490";"Raikuna";"David";"La Rochelle";"15/16";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_14472.html"
"491";"Bakaniceva Radikedike";"Elia Malakai";"Brive";"13/14";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_14484.html"
"492";"Graham";"Romana";"La Rochelle";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_14697.html"
"493";"Tuineau";"Joe";"Montpellier";"11/12";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_14821.html"
"494";"Sinoti To'omaga";"Sinoti";"Toulon";"08/09";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_15403.html"
"495";"Botica";"Benjamin";"Montpellier";"16/17";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_15872.html"
"496";"Whittaker";"Ben";"Biarritz";"13/14";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_16139.html"
"497";"Marais";"Jan Andre";"Union Bordeaux Bègles";"13/14";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_16834.html"
"498";"Fitzpatrick";"Damian";"LOU";"14/15";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_16887.html"
"499";"Vanderglas";"Henry";"Grenoble";"12/13";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_17121.html"
"500";"Sadie";"Johan";"Agen";"15/16";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_17372.html"
"501";"Gray";"Talalelei";"Biarritz";"11/12";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_17438.html"
"502";"White";"Nicolas";"Montpellier";"15/16";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_17444.html"
"503";"Saulo Romumu";"Manasa";"Toulon";"15/16";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_17469.html"
"504";"Tagotago";"Laitia";"Agen";"12/13";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_17485.html"
"505";"Talakai";"Latu";"Grenoble";"17/18";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_17515.html"
"506";"Taylor";"Tom";"Toulon";"15/16";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_17529.html"
"507";"Afatia";"Viliamu";"Agen";"11/12";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_17532.html"
"508";"Mamea Lemalu";"Genesis";"Mont de Marsan";"12/13";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_17541.html"
"509";"Elstadt";"Rynhard";"Stade Toulousain";"17/18";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_17596.html"
"510";"Sukanaveita";"Waisale";"LOU";"11/12";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_17615.html"
"511";"Nakarawa";"Leone";"Racing Metro 92";"16/17";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_17616.html"
"512";"Vuli Vuli";"Albert";"Bourgoin";"09/10";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_17678.html"
"513";"Waqaniburotu";"Dominiko";"Brive";"13/14";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_17847.html"
"514";"Roets";"Johan";"Montpellier";"11/12";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_17868.html"
"515";"Lambie";"Patrick";"Racing Metro 92";"17/18";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_17978.html"
"516";"Gerber";"Danre";"Bayonne";"10/11";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_18094.html"
"517";"Kerr-Barlow";"Tawera";"La Rochelle";"17/18";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_18290.html"
"518";"Soqeta";"Nemia";"Oyonnax";"13/14";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_18455.html"
"519";"de Klerk";"Pieter Rossouw";"Grenoble";"15/16";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_18460.html"
"520";"Matavesi";"Josh";"Racing Metro 92";"10/11";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_18617.html"
"521";"Nadolo (Ratu Nasiganiyavi)";"Nemani";"Bourgoin";"10/11";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_18724.html"
"522";"Jones";"Luke";"Union Bordeaux Bègles";"16/17";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_18726.html"
"523";"Mjekevu";"Wandile Gabada ";"USAP";"13/14";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_18905.html"
"524";"Venter";"Benjamin Christoffel Gherardus";"Union Bordeaux Bègles";"14/15";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_18960.html"
"525";"Kruger";"Rossouw";"Castres";"11/12";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_18968.html"
"526";"Van der Merwe";"Marcel";"Toulon";"16/17";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_19103.html"
"527";"Kotze";"Marco";"Agen";"15/16";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_19136.html"
"528";"Kolinisau";"Osea";"Agen";"10/11";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_19388.html"
"529";"De Chaves";"Sebastian";"Mont de Marsan";"12/13";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_19595.html"
"530";"Marais";"Peet";"Brive";"14/15";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_19596.html"
"531";"Ngauamo";"Paul";"Oyonnax";"14/15";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_19608.html"
"532";"Grice";"Rory";"Grenoble";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_19610.html"
"533";"Tuapati";"Taleimatoga";"Stade Français";"14/15";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_19626.html"
"534";"Alo-Emile";"Paul";"Stade Français";"15/16";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_19628.html"
"535";"Battye";"Phoenix";"Oyonnax";"17/18";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_19633.html"
"536";"Gill";"Liam";"Toulon";"16/17";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_19641.html"
"537";"Nemani";"Maritino";"Grenoble";"15/16";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_19705.html"
"538";"Mafi";"Steve";"Castres";"16/17";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_19774.html"
"539";"Graham";"Matt";"Bayonne";"12/13";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_19801.html"
"540";"Pyle";"Hugh";"Stade Français";"14/15";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_19817.html"
"541";"Bond";"Michael";"Biarritz";"10/11";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_19830.html"
"542";"Owen";"Jono";"Grenoble";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_19849.html"
"543";"Leiataua";"Manu";"Bayonne";"16/17";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_19867.html"
"544";"Whetton";"William";"Castres";"13/14";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_19868.html"
"545";"Halai";"Frank";"Pau";"17/18";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_19869.html"
"546";"Koroivoutu Uluiviti";"Tikiko";"Oyonnax";"13/14";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_20503.html"
"547";"Fa'amasuli";"Barry";"Montpellier";"12/13";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_21835.html"
"548";"Wara";"Samu";"Oyonnax";"13/14";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_22279.html"
"549";"Niko";"Elijah";"Pau";"15/16";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_22519.html"
"550";"Beyers";"Ulrich";"Union Bordeaux Bègles";"14/15";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_22572.html"
"551";"van der Merwe";"Schalk Willem";"Montpellier";"15/16";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_22577.html"
"552";"van Vuuren";"Michael Thomas";"Stade Français";"12/13";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_22578.html"
"553";"Goosen";"Johannes Lodewikus";"Racing Metro 92";"14/15";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_22775.html"
"554";"Adriaanse";"Cornelius Lourens";"Montpellier";"15/16";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_22875.html"
"555";"Falefa";"Johnson";"Stade Toulousain";"10/11";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_22922.html"
"556";"Burotu";"Seremaia";"Biarritz";"11/12";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_22949.html"
"557";"Catrakilis";"Demetri";"Montpellier";"15/16";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_23010.html"
"558";"Kitshoff";"Steven";"Union Bordeaux Bègles";"15/16";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_23011.html"
"559";"Lilomaiava";"Robert";"Union Bordeaux Bègles";"13/14";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_23598.html"
"560";"Ryder";"William";"Mont de Marsan";"12/13";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_23692.html"
"561";"Volavola";"Ben";"Union Bordeaux Bègles";"17/18";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_23721.html"
"562";"Tameifuna";"Ben";"Racing Metro 92";"15/16";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_23729.html"
"563";"Axtens";"Carl";"Stade Toulousain";"15/16";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_23735.html"
"564";"Jordaan";"Paul";"La Rochelle";"16/17";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_23751.html"
"565";"Radradra";"Semi";"Toulon";"17/18";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_23787.html"
"566";"Fekitoa";"Malakai";"Toulon";"17/18";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_23808.html"
"567";"Ratuniyarawa";"Apisalome";"Agen";"15/16";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_23865.html"
"568";"Talebula";"Metuisela";"Union Bordeaux Bègles";"12/13";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_23906.html"
"569";"Wegner";"Carl";"Stade Français";"12/13";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_23960.html"
"570";"So'oialo";"James";"Castres";"11/12";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_23990.html"
"571";"Vakacegu";"Josaia";"Union Bordeaux Bègles";"16/17";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_24045.html"
"572";"Puafisi";"Sila";"Brive";"17/18";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_24049.html"
"573";"Voretamaya";"Venione";"Brive";"13/14";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_24096.html"
"574";"Ferreira";"Andries";"Toulon";"16/17";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_24100.html"
"575";"Van Staden";"Lionelle";"Montpellier";"11/12";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_24110.html"
"576";"Spence";"Jayden";"Union Bordeaux Bègles";"14/15";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_24137.html"
"577";"Ross";"Jono";"Stade Français";"14/15";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_24227.html"
"578";"Galala";"Sevenaia";"Brive";"11/12";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_24444.html"
"579";"Votu";"Watisoni";"USAP";"13/14";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_24932.html"
"580";"Kilioni";"Daniel";"Grenoble";"13/14";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_24983.html"
"581";"Tilsley";"George";"Agen";"15/16";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_25115.html"
"582";"Mogg";"Jesse";"Montpellier";"15/16";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_25135.html"
"583";"Seymour";"Ben";"Agen";"12/13";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_25141.html"
"584";"Botia";"Levani";"La Rochelle";"14/15";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_25290.html"
"585";"Nayacavelu";"Waisea";"Stade Français";"12/13";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_25292.html"
"586";"Vasuinubu";"Avenisi";"Union Bordeaux Bègles";"12/13";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_25294.html"
"587";"Alofa";"Alofa";"La Rochelle";"14/15";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_25438.html"
"588";"Mienie";"Daniel Jacobus";"Stade Toulousain";"17/18";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_25530.html"
"589";"Van Dyk";"Nicholas Johannes John (Maks)";"Stade Toulousain";"16/17";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_25532.html"
"590";"Mostert";"Francois John";"LOU";"16/17";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_25577.html"
"591";"Serfontein";"Jan Lodewyk";"Montpellier";"17/18";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_25583.html"
"592";"de Klerk";"Francois (Faf)";"Union Bordeaux Bègles";"17/18";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_25597.html"
"593";"Van den Heever";"Marthinus Jacobus";"Stade Toulousain";"13/14";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_25617.html"
